,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
27,150000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",10196.0,tt0938283,The Last Airbender,2010-06-30,319713881.0,4.7,3333.0
28,40000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",34851.0,tt1424381,Predators,2010-07-03,127233108.0,6.2,3222.0
29,40000000.0,"[{'id': 18, 'name': 'Drama'}]",37799.0,tt1285016,The Social Network,2010-10-01,224920315.0,7.3,10105.0
30,3000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",38234.0,tt1156466,Undisputed III: Redemption,2010-05-22,0.0,7.5,648.0
31,52000000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",568.0,tt0112384,Apollo 13,1995-06-30,355237933.0,7.4,4536.0
32,140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",95.0,tt0120591,Armageddon,1998-07-01,553799566.0,6.8,6662.0
33,70000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2503.0,tt0440963,The Bourne Ultimatum,2007-08-03,442824138.0,7.4,6508.0
34,125000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",18823.0,tt0800320,Clash of the Titans,2010-03-31,493214993.0,5.9,5380.0
35,35000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",34806.0,tt1212436,The Back-Up Plan,2010-04-23,77477008.0,6.2,1227.0
36,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",20662.0,tt0955308,Robin Hood,2010-05-12,321669741.0,6.4,3875.0
37,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",35019.0,tt1415283,Nanny McPhee and the Big Bang,2010-03-26,123276807.0,6.3,1548.0
