,genre_ids,original_language,popularity,title,vote_average,vote_count
20617,"['Science Fiction', 'Action', 'Thriller']",en,48.571,Blade Runner 2049,7.4,6679
21101,"['Action', 'Animation', 'Science Fiction']",en,7.284,Blade Runner: Black Out 2022,7.4,146
5585,"['Drama', 'Fantasy']",es,5.935,Blancanieves,7.3,122
24093,"['Comedy', 'Drama']",en,11.491,Blindspotting,7.6,224
17554,"['Crime', 'Drama', 'Thriller']",en,10.374,Blood Simple,7.4,554
8387,"['Animation', 'Fantasy', 'Mystery', 'Horror']",ja,5.357,Blue Exorcist: The Movie,7.2,64
8197,"['Romance', 'Drama']",fr,7.223,Blue Is the Warmest Color,7.1,2367
8009,"['Comedy', 'Drama']",en,10.443,Blue Jasmine,7.0,1983
17971,"['Music', 'Comedy']",en,5.817,Bo Burnham: Make Happy,8.4,126
8402,['Comedy'],en,5.214,Bo Burnham: What.,8.2,88
2957,"['Documentary', 'Drama']",en,5.44,Bobby Fischer Against the World,7.0,64
24766,"['Drama', 'Comedy']",en,4.801,Bodied,7.5,40
23825,"['Drama', 'Music']",en,37.197,Bohemian Rhapsody,8.1,7629
21193,"['Drama', 'Crime']",en,6.44,Bomb City,7.4,76
21386,['Documentary'],en,4.457,Bombshell: The Hedy Lamarr Story,7.2,37
20863,"['Drama', 'History']",sv,9.955,Borg vs McEnroe,7.1,548
21217,['Documentary'],zh,6.185,Born in China,7.3,79
14670,"['Animation', 'Drama', 'Western']",en,5.973,Borrowed Time,7.5,100
258,"['Drama', 'Comedy']",en,7.759,Boy,7.5,149
14627,"['Animation', 'Adventure', 'Family', 'Science Fiction']",pt,6.352,Boy & the World,7.3,114
24018,['Drama'],en,13.629,Boy Erased,7.2,431
11138,['Drama'],en,11.141,Boyhood,7.5,3097
11585,['Drama'],nl,5.577,Boys,7.6,290
20916,['Drama'],en,9.246,Brain on Fire,7.2,671
20829,"['Drama', 'Romance']",en,10.606,Breathe,7.5,323
8760,['Documentary'],en,2.438,Bridegroom,7.8,52
14261,"['Thriller', 'Drama']",en,12.836,Bridge of Spies,7.2,4313
21827,['Documentary'],en,2.098,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,7.6,41
20919,"['Comedy', 'Drama']",en,9.237,Brigsby Bear,7.3,188
20723,"['Mystery', 'Thriller', 'Western']",en,14.378,Brimstone,7.1,475
14276,"['Drama', 'Romance']",en,12.083,Brooklyn,7.3,1912
464,['Drama'],da,4.648,Brotherhood,7.5,35
5645,"['Crime', 'Drama']",nl,5.117,Bullhead,7.3,165
2923,"['Documentary', 'Drama']",en,5.877,Bully,7.2,93
196,"['Drama', 'Romance']",en,8.676,Burlesque,7.1,1195
23954,"['Mystery', 'Drama', 'Thriller']",ko,16.152,Burning,7.4,314
14966,"['Comedy', 'Documentary']",en,3.203,Call Me Lucky,7.3,35
23896,"['Romance', 'Drama']",en,20.504,Call Me by Your Name,8.3,4957
11205,['Drama'],en,9.467,Calvary,7.1,531
23899,['Drama'],ar,20.249,Capernaum,8.4,329
17382,"['Adventure', 'Action', 'Science Fiction']",en,39.137,Captain America: Civil War,7.4,14000
11063,"['Action', 'Adventure', 'Science Fiction']",en,18.073,Captain America: The Winter Soldier,7.7,11034
17459,"['Adventure', 'Comedy', 'Drama']",en,14.883,Captain Fantastic,8.0,3445
7922,"['Action', 'Drama', 'Thriller']",en,15.483,Captain Phillips,7.6,3909
11975,"['Fantasy', 'Drama']",en,2.457,Cargo,7.6,47
338,"['Crime', 'Drama', 'Thriller', 'History']",en,6.568,Carlos,7.0,87
2621,"['Comedy', 'Drama']",en,10.181,Carnage,7.1,1478
17482,"['Romance', 'Drama']",en,13.096,Carol,7.4,1949
154,"['Horror', 'Thriller']",en,9.467,Carrie,7.1,1766
21300,['Comedy'],en,5.392,Carrie Pilby,7.2,163
14503,"['Drama', 'Documentary']",en,7.337,Cartel Land,7.3,231
287,"['Drama', 'Comedy', 'Romance']",ko,7.368,Castaway on the Moon,8.1,259
8216,['Comedy'],en,7.02,Castello Cavalcanti,7.1,136
