,title,production_budget,domestic_gross,worldwide_gross
301,Knight and Day,117000000,76400000,258800000
2081,Knocked Up,27500000,148800000,219300000
1111,Knowing,50000000,80000000,186500000
77,Kong: Skull Island,185000000,168100000,561100000
241,Kung Fu Panda,130000000,215400000,631900000
173,Kung Fu Panda 2,150000000,165200000,664800000
210,Kung Fu Panda 3,140000000,143500000,517600000
1645,L.A. Confidential,35000000,64600000,126200000
4086,La Bamba,6500000,54200000,54200000
2491,La La Land,20000000,151100000,426400000
4634,La marche de l'empereur,3400000,77400000,133300000
2516,La vita Ã¨ bella,20000000,57600000,229400000
874,Ladder 49,60000000,74500000,102300000
427,Lara Croft: Tomb Raider,94000000,131100000,273300000
464,Lara Croft: Tomb Raider: The Cradle of Life,90000000,65700000,157100000
2045,Last Vegas,28000000,63900000,112900000
1057,Law Abiding Citizen,53000000,73400000,131200000
1844,Lee Daniels' The Butler,30000000,116600000,177000000
2767,Legally Blonde,18000000,96500000,141800000
2169,"Legally Blonde 2: Red, White & Blonde",25000000,90600000,125300000
389,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55700000,139700000
1867,Legends of the Fall,30000000,66500000,160500000
374,Lemony Snicket's A Series of Unfortunate Events,100000000,118600000,213000000
777,Les Miserables,65000000,148800000,442200000
3011,Lethal Weapon,15000000,65200000,120200000
1629,Lethal Weapon 3,35000000,144700000,319700000
211,Lethal Weapon 4,140000000,130400000,285400000
1888,Letters to Juliet,30000000,53000000,82100000
2868,Letâs Be Cops,17000000,82400000,136900000
1251,Liar Liar,45000000,181400000,302700000
650,Life,75000000,64100000,73500000
1563,Life as We Know It,38000000,53400000,105900000
287,Life of Pi,120000000,125000000,620900000
1887,Life of the Party,30000000,53100000,65800000
4254,Lights Out,5000000,67300000,148800000
545,Lilo & Stitch,80000000,145800000,245800000
2090,Limitless,27000000,79200000,155600000
772,Lincoln,65000000,182200000,273300000
369,Little Fockers,100000000,148400000,310700000
821,Little Man,64000000,58600000,101600000
3865,Little Miss Sunshine,8000000,59900000,100600000
320,Live Free or Die Hard,110000000,134500000,382300000
258,Logan,127000000,226300000,615500000
879,London Has Fallen,60000000,62500000,195200000
1383,Lone Survivor,40000000,125100000,149800000
1868,Looper,30000000,66500000,170500000
577,Lost In Space,80000000,69100000,136000000
1277,Love Actually,45000000,59500000,248500000
1382,Lucy,40000000,126600000,457500000
4588,M*A*S*H,3500000,81600000,81600000
174,Mad Max: Fury Road,150000000,153600000,370100000
632,Madagascar,75000000,193600000,556600000
196,Madagascar 3: Europe's Most Wanted,145000000,216400000,746900000
170,Madagascar: Escape 2 Africa,150000000,180200000,599700000
2857,Madea Goes To Jail,17500000,90500000,90500000
2191,Madea's Big Happy Family,25000000,53300000,54200000
3547,Madea's Family Reunion,10000000,63300000,63300000
3987,Magic Mike,7000000,113700000,170500000
3165,Magic Mike XXL,14500000,66000000,123700000
999,Maid in Manhattan,55000000,93900000,163800000
83,Maleficent,180000000,241400000,758500000
3008,Mama,15000000,71600000,148100000
1067,Mamma Mia!,52000000,144100000,615700000
28,Man of Steel,225000000,291000000,668000000
868,Man on Fire,60000000,77900000,131000000
846,Marley & Me,60000000,143200000,247800000
4116,Mary Poppins,6000000,102300000,102300000
244,Mary Poppins Returns,130000000,172000000,341500000
229,Master and Commander: The Far Side of the World,135000000,93900000,212900000
839,Maze Runner: The Death Cure,61000000,58000000,265900000
837,Maze Runner: The Scorch Trials,61000000,81700000,310600000
2519,Me Before You,20000000,56200000,208300000
1076,"Me, Myself & Irene",51000000,90600000,149300000
2768,Mean Girls,18000000,86000000,131000000
842,Meet the Fockers,60000000,279200000,516600000
985,Meet the Parents,55000000,166200000,330400000
246,Megamind,130000000,148400000,321900000
509,Memoirs of a Geisha,85000000,57000000,161500000
438,Men in Black,90000000,250700000,587800000
208,Men in Black 2,140000000,190400000,441800000
34,Men in Black 3,215000000,179000000,654200000
1890,Message in a Bottle,30000000,52900000,52900000
233,Miami Vice,135000000,63500000,163800000
876,Michael Jackson's This Is It,60000000,72100000,252100000
1882,Midnight in Paris,30000000,56800000,162500000
1853,Million Dollar Baby,30000000,100500000,231900000
672,Minions,74000000,336000000,1160300000
360,Minority Report,102000000,132000000,358800000
2044,Miracle,28000000,64400000,64500000
3249,Miracles from Heaven,13000000,61700000,73800000
506,Mirror Mirror,85000000,64900000,173600000
1256,Miss Congeniality,45000000,106800000,213400000
329,Miss Peregrineâs Home for Peculiar Children,110000000,87200000,296000000
468,Mission to Mars,90000000,60900000,106000000
539,Mission: Impossible,80000000,181000000,457700000
283,Mission: Impossible 2,120000000,215400000,549600000
179,Mission: Impossible III,150000000,133500000,397500000
91,Mission: ImpossibleâFallout,178000000,220200000,787500000
197,Mission: ImpossibleâGhost Protocol,145000000,209400000,694700000
167,Mission: ImpossibleâRogue Nation,150000000,195000000,688900000
161,Moana,150000000,248800000,637500000
794,Mona Lisa Smile,65000000,63800000,141200000
1114,Moneyball,50000000,75600000,111300000
647,Monster House,75000000,73700000,141300000
1265,Monster-in-Law,45000000,82900000,155900000
52,Monsters University,200000000,268500000,743600000
103,Monsters vs. Aliens,175000000,198400000,381700000
306,"Monsters, Inc.",115000000,289400000,559800000
1825,Moonraker,31000000,70300000,210300000
2509,Mortal Kombat,20000000,70400000,122100000
1060,Moulin Rouge,53000000,57400000,179200000
1560,Mouse Hunt,38000000,61900000,61900000
1093,Mr. Deeds,50000000,126300000,171300000
1823,Mr. Hollandâs Opus,31000000,82600000,106300000
200,Mr. Peabody & Sherman,145000000,111500000,269800000
1008,Mr. Poppers's Penguins,55000000,68200000,189600000
317,Mr. and Mrs. Smith,110000000,186300000,486100000
2160,Mrs. Doubtfire,25000000,219200000,441300000
448,Mulan,90000000,120600000,303500000
994,Murder on the Orient Express,55000000,102800000,345900000
1243,My Best Friend's Wedding,46000000,126800000,298900000
4247,My Big Fat Greek Wedding,5000000,241400000,374900000
2776,My Big Fat Greek Wedding 2,18000000,59700000,92100000
3471,My Cousin Vinny,11000000,52900000,52900000
2870,My Fair Lady,17000000,72000000,72100000
2918,My Girl,16500000,58000000,58000000
1855,Mystic River,30000000,90100000,156800000
1792,Nacho Libre,32000000,80200000,99300000
4663,National Lampoon's Animal House,3000000,141600000,141600000
3013,National Lampoonâs Vacation,15000000,61400000,61400000
367,National Treasure,100000000,173000000,331300000
2763,Neighbors,18000000,150100000,270900000
1655,Neighbors 2: Sorority Rising,35000000,55300000,108800000
1608,Never Say Never Again,36000000,55500000,160000000
2130,New Yearâs Eve,26000000,54500000,146900000
3752,Next Friday,9500000,57200000,59700000
2015,Night School,29000000,77300000,103000000
316,Night at the Museum,110000000,250900000,579400000
172,Night at the Museum: Battle of the Smithsonian,150000000,177200000,402200000
259,Night at the Museum: Secret of the Tomb,127000000,113700000,353800000
2180,No Country for Old Men,25000000,74300000,164000000
3243,No Good Deed,13200000,52500000,54300000
2183,No Strings Attached,25000000,70700000,149200000
250,Noah,130000000,101200000,352800000
1101,Non-Stop,50000000,91700000,222400000
1344,Notting Hill,42000000,116100000,363700000
640,Now You See Me,75000000,117700000,342800000
465,Now You See Me 2,90000000,65100000,328300000
526,Nutty Professor II: The Klumps,84000000,123300000,166300000
292,Oblivion,120000000,89100000,287900000
2511,Obsessed,20000000,68300000,74000000
489,Ocean's Eleven,85000000,183400000,450700000
500,Ocean's Thirteen,85000000,117100000,311700000
322,Ocean's Twelve,110000000,125500000,363000000
698,Oceanâs 8,70000000,140200000,297100000
2082,Octopussy,27500000,67900000,187500000
1280,Office Christmas Party,45000000,54800000,91300000
2333,Old School,24000000,75200000,86800000
708,Olympus Has Fallen,70000000,98900000,172900000
2018,Once Upon a Time in Mexico,29000000,56300000,97400000
4459,One Flew Over the Cuckoo's Nest,4400000,109000000,109000000
2128,Open Range,26000000,58300000,68600000
503,Open Season,85000000,85100000,191900000
1824,Out of Africa,31000000,79100000,258200000
1118,Outbreak,50000000,67800000,190000000
544,Over the Hedge,80000000,155000000,343400000
53,Oz the Great and Powerful,200000000,234800000,490400000
1885,P.S. I Love You,30000000,53700000,155800000
71,Pacific Rim,190000000,101800000,411000000
149,Pacific Rim: Uprising,155000000,59900000,290900000
1004,Paddington,55000000,76200000,258800000
1216,Panic Room,48000000,95300000,196300000
888,ParaNorman,60000000,56000000,108100000
5492,Paranormal Activity,450000,107900000,194200000
4664,Paranormal Activity 2,3000000,84800000,177500000
4250,Paranormal Activity 3,5000000,104000000,207000000
4258,Paranormal Activity 4,5000000,53900000,142800000
2178,Parental Guidance,25000000,77300000,120800000
327,Passengers,110000000,100000000,302200000
1089,Patch Adams,50000000,135000000,202200000
1264,Patriot Games,45000000,83300000,178100000
3356,Patton,12000000,62500000,62500000
2119,Paul Blart: Mall Cop,26000000,146300000,185900000
1559,Paul Blart: Mall Cop 2,38000000,71100000,107700000
1109,Payback,50000000,81500000,161600000
890,Paycheck,60000000,53800000,98800000
152,Pearl Harbor,151500000,198500000,449200000
236,Penguins of Madagascar,132000000,83400000,366900000
416,Percy Jackson & the Olympians: The Lightning Thief,95000000,88800000,223100000
463,Percy Jackson: Sea of Monsters,90000000,68600000,200900000
3460,Pet Sematary,11500000,57500000,57500000
4476,Peter Pan,4000000,87400000,87400000
1096,Peter Rabbit,50000000,115200000,347100000
790,Peteâs Dragon,65000000,76200000,137800000
1789,Phenomenon,32000000,104600000,152000000
2125,Philadelphia,26000000,77300000,201300000
2124,Pineapple Express,26000000,87300000,102400000
4867,Pinocchio,2289247,84300000,84300000
7,Pirates of the Caribbean: At Worldâs End,300000000,309400000,963400000
27,Pirates of the Caribbean: Dead Manâs Chest,225000000,423300000,1066200000
24,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172600000,788200000
1,Pirates of the Caribbean: On Stranger Tides,410600000,241100000,1045700000
205,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305400000,635000000
2874,Pitch Perfect,17000000,65000000,116000000
2013,Pitch Perfect 2,29000000,184300000,287600000
1257,Pitch Perfect 3,45000000,104900000,185700000
458,Pixels,90000000,78800000,244000000
1123,Planes: Fire and Rescue,50000000,59200000,156400000
366,Planet of the Apes,100000000,180000000,362200000
4113,Platoon,6000000,138000000,138000000
987,Pocahontas,55000000,141600000,347100000
1857,Pokemon: The First Movie,30000000,85700000,163600000
175,PokÃ©mon: Detective Pikachu,150000000,139500000,411300000
4423,Police Academy,4500000,81200000,81200000
3521,Poltergeist,10700000,74700000,121700000
4475,Porky's,4000000,109500000,109500000
144,Poseidon,160000000,60700000,181700000
293,Power Rangers,120000000,85400000,142500000
2775,Predator,18000000,59700000,98300000
3171,Pretty Woman,14000000,178400000,432600000
62,Prince of Persia: Sands of Time,200000000,90800000,336400000
1247,Prisoners,46000000,61000000,113400000
3009,Private Benjamin,15000000,69800000,69800000
3357,Project X,12000000,54700000,103000000
274,Prometheus,125000000,126500000,402400000
358,Public Enemies,102500000,97100000,212300000
3861,Pulp Fiction,8000000,107900000,212900000
245,Puss in Boots,130000000,149300000,555000000
25,Quantum of Solace,230000000,169400000,591700000
1005,R.V.,55000000,71700000,87500000
527,RED 2,84000000,53300000,141500000
1119,Race to Witch Mountain,50000000,67200000,105100000
2486,Raiders of the Lost Ark,20000000,225700000,367500000
2161,Rain Man,25000000,172800000,412800000
102,Ralph Breaks The Internet,175000000,201100000,524300000
958,Rambo III,58000000,53700000,188700000
1328,Rambo: First Blood Part II,44000000,150400000,300400000
289,Rampage,120000000,101000000,428100000
228,Rango,135000000,123500000,245700000
699,Ransom,70000000,136500000,308700000
1223,Rat Race,48000000,56600000,86600000
164,Ratatouille,150000000,206400000,626500000
1407,Ray,40000000,75300000,124800000
177,Ready Player One,150000000,137700000,579300000
330,Real Steel,110000000,85500000,263900000
862,Red,60000000,90400000,196400000
613,Red Dragon,78000000,93000000,206500000
2129,Red Eye,26000000,57900000,96700000
1845,Remember the Titans,30000000,115700000,136700000
969,Resident Evil: Afterlife,57500000,60100000,295900000
2166,Ride Along,25000000,134200000,153700000
1394,Ride Along 2,40000000,90900000,124800000
445,Rio,90000000,143600000,487500000
248,Rio 2,130000000,131500000,492800000
201,Rise of the Guardians,145000000,103400000,306900000
430,Rise of the Planet of the Apes,93000000,176800000,471000000
2929,Road Trip,16000000,68500000,119700000
556,Road to Perdition,80000000,104100000,183400000
38,Robin Hood,210000000,105500000,322500000
1085,Robin Hood: Prince of Thieves,50000000,165500000,390500000
295,RoboCop,120000000,58600000,243000000
550,Robots,80000000,128200000,260700000
1370,Rocketman,41000000,57300000,108600000
5210,Rocky,1000000,117200000,225000000
2334,Rocky Balboa,24000000,70300000,156200000
44,Rogue One: A Star Wars Story,200000000,532200000,1049100000
2042,Role Models,28000000,67300000,94500000
2188,Romeo Must Die,25000000,56000000,91000000
1863,Rugrats in Paris,30000000,76500000,103300000
880,Rules of Engagement,60000000,61300000,71700000
696,Runaway Bride,70000000,152300000,310100000
1630,Rush Hour,35000000,141200000,245300000
440,Rush Hour 2,90000000,226200000,347400000
86,Rush Hour 3,180000000,140100000,256600000
703,S.W.A.T.,70000000,116900000,207200000
959,Sabrina,58000000,53500000,87100000
2040,Safe Haven,28000000,71400000,94100000
498,Safe House,85000000,126200000,208500000
202,Sahara,145000000,68700000,121700000
249,Salt,130000000,118300000,290700000
318,San Andreas,110000000,155200000,456300000
2727,Sausage Party,19000000,97700000,141300000
3246,Save the Last Dance,13000000,91000000,122200000
1636,Saving Mr. Banks,35000000,83300000,115000000
770,Saving Private Ryan,65000000,216300000,485000000
5156,Saw,1200000,56000000,103900000
4251,Saw II,5000000,87000000,152900000
3540,Saw III,10000000,80200000,163900000
3546,Saw IV,10000000,63300000,135800000
3516,Saw V,10800000,56700000,118200000
2725,Scary Movie,19000000,157000000,277200000
1269,Scary Movie 2,45000000,71300000,141200000
1255,Scary Movie 3,45000000,110000000,155200000
1395,Scary Movie 4,40000000,90700000,178700000
2168,Schindlerâs List,25000000,96900000,322200000
2505,School of Rock,20000000,81300000,131900000
525,Scooby-Doo,84000000,153300000,276300000
2170,Scooby-Doo 2: Monsters Unleashed,25000000,84200000,181200000
3000,Scream,15000000,103000000,173000000
2332,Scream 2,24000000,101400000,172400000
1397,Scream 3,40000000,89100000,161800000
1793,Scrooged,32000000,59500000,59500000
1854,Se7en,30000000,100100000,328100000
2728,Sea of Love,19000000,58600000,58600000
486,Seabiscuit,86000000,120300000,148700000
1652,Secretariat,35000000,59700000,60400000
1051,Seven Pounds,54000000,70000000,166600000
968,Sex and the City,57500000,152600000,415200000
415,Sex and the City 2,95000000,95300000,294700000
1055,Shaft,53012938,70300000,107200000
2122,Shakespeare in Love,26000000,100300000,279500000
1425,Shall We Dance?,40000000,57900000,118100000
1412,Shallow Hal,40000000,70800000,70800000
1122,Shanghai Knights,50000000,60500000,88300000
1013,Shanghai Noon,55000000,56900000,71200000
634,Shark Tale,75000000,161400000,371900000
496,Shazam!,85000000,139600000,362900000
3545,She's All That,10000000,63500000,63500000
441,Sherlock Holmes,90000000,209000000,498400000
268,Sherlock Holmes: A Game of Shadows,125000000,186800000,535700000
1082,Shrek,50000000,267700000,491800000
692,Shrek 2,70000000,441200000,937000000
126,Shrek Forever After,165000000,238700000,756200000
136,Shrek the Third,160000000,322700000,807300000
551,Shutter Island,80000000,128000000,299500000
2871,Sideways,17000000,71500000,109800000
691,Signs,70702619,228000000,408300000
2458,Silver Linings Playbook,21000000,132100000,236400000
1408,Sin City,40000000,74100000,158500000
628,Sing,75000000,270300000,634500000
1856,Sisters,30000000,87000000,106000000
573,"Six Days, Seven Nights",80000000,74300000,164800000
1646,Sky High,35000000,63900000,83100000
51,Skyfall,200000000,304400000,1110500000
277,Skyscraper,125000000,68400000,304100000
1329,Sleepers,44000000,53300000,165600000
705,Sleepy Hollow,70000000,101100000,207100000
3173,Slumdog Millionaire,14000000,141300000,384500000
1428,Small Soldiers,40000000,55100000,71700000
568,Smallfoot,80000000,83200000,213700000
677,Snake Eyes,73000000,55600000,103900000
3250,Snow Day,13000000,60000000,62500000
1791,Snow Dogs,32000000,81200000,116900000
118,Snow White and the Huntsman,170000000,155100000,401000000
5117,Snow White and the Seven Dwarfs,1488000,184900000,184900000
11,Solo: A Star Wars Story,275000000,213800000,393200000
552,Something's Gotta Give,80000000,124700000,266700000
2410,Son of God,22000000,59700000,70900000
1795,Source Code,32000000,54700000,140400000
1891,Southpaw,30000000,52400000,94200000
787,Space Cowboys,65000000,90500000,128900000
566,Space Jam,80000000,90500000,250200000
1429,Spawn,40000000,55000000,87900000
1650,Species,35000000,60100000,113400000
9,Spectre,300000000,200100000,879600000
1842,Speed,30000000,121200000,283200000
218,Spider-Man,139000000,403700000,821700000
49,Spider-Man 2,200000000,373500000,795100000
15,Spider-Man 3,258000000,336500000,894900000
98,Spider-Man: Homecoming,175000000,334200000,880200000
443,Spider-Man: Into The Spider-Verse 3D,90000000,190200000,375400000
574,Spirit: Stallion of the Cimarron,80000000,73200000,106500000
3864,Splash,8000000,62600000,62600000
4249,Split,5000000,138100000,279000000
1858,SpongeBob SquarePants: The Movie,30000000,85400000,142100000
466,Spy Game,90000000,62400000,143000000
1634,Spy Kids,35000000,112700000,197700000
1556,Spy Kids 2: The Island of Lost Dreams,38000000,85800000,119700000
1386,Spy Kids 3-D: Game Over,40000000,111800000,167900000
782,Spy!,65000000,110800000,232600000
206,Star Trek,140000000,257700000,386800000
78,Star Trek Beyond,185000000,158800000,335800000
3347,Star Trek II: The Wrath of Khan,12000000,78900000,95800000
2769,Star Trek III: The Search for Spock,18000000,76500000,87000000
2331,Star Trek IV: The Voyage Home,24000000,109700000,133000000
67,Star Trek Into Darkness,190000000,228800000,467400000
2091,Star Trek VI: The Undiscovered Country,27000000,74900000,96900000
1245,Star Trek: First Contact,46000000,92000000,150000000
1557,Star Trek: Generations,38000000,75700000,120000000
715,Star Trek: Insurrection,70000000,70200000,117800000
1637,Star Trek: The Motion Picture,35000000,82300000,139000000
303,Star Wars Ep. I: The Phantom Menace,115000000,474500000,1027000000
305,Star Wars Ep. II: Attack of the Clones,115000000,310700000,656700000
304,Star Wars Ep. III: Revenge of the Sith,115000000,380300000,849000000
3464,Star Wars Ep. IV: A New Hope,11000000,461000000,786600000
2367,Star Wars Ep. V: The Empire Strikes Back,23000000,290300000,534200000
1783,Star Wars Ep. VI: Return of the Jedi,32500000,309200000,572700000
5,Star Wars Ep. VII: The Force Awakens,306000000,936700000,2053300000
4,Star Wars Ep. VIII: The Last Jedi,317000000,620200000,1316700000
1006,Stargate,55000000,71600000,196600000
390,Starship Troopers,100000000,54800000,121100000
863,Starsky & Hutch,60000000,88200000,170200000
784,Step Brothers,65000000,100500000,128500000
3353,Step Up,12000000,65300000,111000000
2858,Step Up 2 the Streets,17500000,58000000,148600000
1102,Stepmom,50000000,91100000,159700000
3178,Stomp the Yard,14000000,61400000,75500000
714,Storks,70000000,72700000,183400000
2034,Straight Outta Compton,28000000,161200000,202200000
3539,Stripes,10000000,85300000,85300000
348,Stuart Little,105000000,140000000,298800000
294,Stuart Little 2,120000000,65000000,166000000
99,Suicide Squad,175000000,325100000,746100000
849,Sully,60000000,125100000,238500000
1092,Super 8,50000000,127000000,258000000
2856,Superbad,17500000,121500000,170000000
988,Superman,55000000,134200000,300200000
1048,Superman II,54000000,108200000,108200000
1545,Superman III,39000000,60000000,60000000
23,Superman Returns,232000000,200100000,374100000
387,Surf's Up,100000000,58900000,145400000
1554,Sweet Home Alabama,38000000,127200000,182400000
575,Swordfish,80000000,69800000,147100000
1656,TMNT,35000000,54100000,96100000
2049,Tag,28000000,54700000,77000000
2165,Taken,25000000,145000000,226900000
1253,Taken 2,45000000,139900000,377800000
1217,Taken 3,48000000,89300000,327700000
1794,Takers,32000000,57700000,70600000
675,Talladega Nights: The Ballad of Ricky Bobby,73000000,148200000,162900000
2502,Tammy,20000000,84500000,96400000
14,Tangled,260000000,200800000,586500000
1011,Tango & Cash,55000000,63400000,63400000
199,Tarzan,145000000,171100000,448200000
1083,Ted,50000000,218700000,556000000
754,Ted 2,68000000,81500000,217200000
3232,Teenage Mutant Ninja Turtles,13500000,135300000,202000000
2177,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78700000,78700000
231,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82100000,245300000
364,Terminator 2: Judgment Day,100000000,203500000,515400000
119,Terminator 3: Rise of the Machines,170000000,150400000,433100000
60,Terminator Salvation,200000000,125300000,365500000
148,Terminator: Genisys,155000000,89800000,432200000
2121,The 40 Year-old Virgin,26000000,109400000,177300000
331,The A-Team,110000000,77200000,177200000
722,The Abyss,70000000,54200000,54200000
1399,The Accountant,40000000,86300000,153000000
1848,The Addams Family,30000000,113500000,191500000
1080,The Adjustment Bureau,50200000,62500000,126900000
251,The Adventures of Tintin,130000000,77600000,374000000
30,The Amazing Spider-Man,220000000,262000000,757900000
55,The Amazing Spider-Man 2,200000000,202900000,709000000
831,The American President,62000000,60000000,107800000
2757,The Amityville Horror,18500000,65200000,109200000
676,The Angry Birds Movie,73000000,107500000,352300000
2411,The Animal,22000000,55800000,55800000
26,The Avengers,225000000,623300000,1517900000
326,The Aviator,110000000,102600000,208400000
216,The BFG,140000000,55500000,199600000
1651,The Benchwarmers,35000000,59800000,65100000
2483,The Best Little Whorehouse in Texas,20500000,69700000,69700000
2872,The Best Man Holiday,17000000,70500000,72800000
2041,The Big Short,28000000,70300000,133200000
5406,The Blair Witch Project,600000,140500000,248300000
1625,The Blind Side,35000000,256000000,305700000
2094,The Blues Brothers,27000000,57200000,57200000
2167,The Bodyguard,25000000,121900000,410900000
1220,The Bone Collector,48000000,66500000,151500000
563,The Book of Eli,80000000,94800000,158800000
2016,The Boss,29000000,63100000,78700000
270,The Boss Baby,125000000,175000000,510900000
1272,The Bounty Hunter,45000000,67100000,135800000
850,The Bourne Identity,60000000,121500000,214400000
275,The Bourne Legacy,125000000,113200000,280400000
490,The Bourne Supremacy,85000000,176100000,311000000
239,The Bourne Ultimatum,130000000,227500000,444000000
1068,The Break-Up,52000000,118700000,205700000
2409,The Bridges of Madison County,22000000,71500000,175500000
1261,The Bucket List,45000000,93500000,174800000
3251,The Butterfly Effect,13000000,57900000,95600000
1234,The Cable Guy,47000000,60200000,102800000
417,The Campaign,95000000,86900000,104900000
343,The Cat in the Hat,109000000,101000000,133800000
1649,The Cell,35000000,61300000,85900000
29,The Chronicles of Narnia: Prince Caspian,225000000,141600000,417300000
82,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291700000,720500000
147,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104400000,418200000
296,The Chronicles of Riddick,120000000,57700000,107200000
1262,The Client,45000000,92100000,117600000
3004,The Color Purple,15000000,93600000,93600000
2492,The Conjuring,20000000,137400000,318000000
1389,The Conjuring 2: The Enfield Poltergeist,40000000,102500000,311300000
1431,The Count of Monte Cristo,40000000,54200000,75400000
225,The Croods,135000000,187200000,573100000
4477,The Crying Game,4000000,62500000,62500000
142,The Curious Case of Benjamin Button,160000000,127500000,329600000
264,The Da Vinci Code,125000000,217500000,767800000
74,The Dark Knight,185000000,533700000,1002000000
10,The Dark Knight Rises,275000000,448100000,1084400000
269,The Day After Tomorrow,125000000,186700000,556300000
571,The Day the Earth Stood Still,80000000,79400000,237400000
446,The Departed,90000000,132400000,289700000
2504,The Descendants,20000000,82600000,175500000
5211,The Devil Inside,1000000,53300000,101800000
1632,The Devil Wears Prada,35000000,124700000,326100000
795,The Dictator,65000000,59700000,180100000
333,The Divergent Series: Allegiant,110000000,66200000,172000000
321,The Divergent Series: Insurgent,110000000,130200000,295100000
2092,The Divine Secrets of the Ya-Ya Sisterhood,27000000,69600000,73800000
1056,The Dukes of Hazzard,53000000,80300000,109800000
1106,The Emoji Movie,50000000,86100000,216600000
379,The Emperor's New Groove,100000000,89300000,169300000
1641,The English Patient,35000000,78700000,231700000
995,The Equalizer,55000000,101500000,192900000
620,The Equalizer 2,77000000,102100000,190500000
2770,The Exorcism of Emily Rose,18000000,75100000,144500000
3341,The Exorcist,12000000,230300000,428200000
533,The Expendables,82000000,103100000,268300000
380,The Expendables 2,100000000,85000000,312000000
869,The Family Man,60000000,75800000,124700000
2773,The Family Stone,18000000,60100000,92400000
1553,The Fast and the Furious,38000000,144500000,206500000
508,The Fast and the Furious: Tokyo Drift,85000000,62600000,157800000
22,The Fate of the Furious,250000000,225800000,1234800000
3342,The Fault in Our Stars,12000000,124900000,307200000
419,The Fifth Element,95000000,63600000,263900000
3467,The Fighter,11000000,93600000,129300000
1418,The Final Destination,40000000,66500000,187400000
1342,The Firm,42000000,158300000,270300000
3248,The First Purge,13000000,69500000,136600000
1852,The First Wives Club,30000000,105500000,181500000
1254,The Flintstones,45000000,130500000,358500000
1120,The Forgotten,50000000,66700000,117200000
1327,The Fugitive,44000000,183900000,353700000
2407,The Game Plan,22000000,90600000,146600000
855,The General's Daughter,60000000,102700000,149700000
1267,The Girl on the Train,45000000,75400000,174300000
450,The Girl with the Dragon Tattoo,90000000,102500000,239400000
3986,The Godfather,7000000,135000000,268500000
3252,The Godfather: Part II,13000000,57300000,57300000
1052,The Godfather: Part III,54000000,66500000,66500000
3346,The Golden Child,12000000,79800000,79800000
40,The Golden Compass,205000000,70100000,367300000
72,The Good Dinosaur,187500000,123100000,333800000
1826,The Grand Budapest Hotel,31000000,59100000,164000000
69,The Great Gatsby,190000000,144800000,351000000
524,The Greatest Showman,84000000,174300000,386700000
328,The Green Hornet,110000000,98800000,229200000
847,The Green Mile,60000000,136800000,290700000
3537,The Grudge,10000000,110400000,187300000
721,The Guardian,70000000,55000000,95000000
1624,The Hangover,35000000,277300000,465800000
356,The Hangover 3,103000000,112200000,362000000
538,The Hangover Part II,80000000,254500000,586500000
878,The Happening,60000000,64500000,162800000
832,The Hateful Eight,62000000,54100000,147900000
460,The Haunted Mansion,90000000,75800000,155800000
565,The Haunting,80000000,91200000,180200000
1334,The Heat,43000000,159600000,229700000
2162,The Help,25000000,169700000,213100000
1864,The Hitmanâs Bodyguard,30000000,75500000,172800000
18,The Hobbit: An Unexpected Journey,250000000,303000000,1017000000
21,The Hobbit: The Battle of the Five Armies,250000000,255100000,945600000
20,The Hobbit: The Desolation of Smaug,250000000,258400000,960400000
507,The Holiday,85000000,63300000,205200000
872,The Horse Whisperer,60000000,75400000,186900000
1415,The House with a Clock in its Walls,40000000,68500000,126300000
378,The Hunchback of Notre Dame,100000000,100100000,325500000
2412,The Hundred-Foot Journey,22000000,54200000,94300000
537,The Hunger Games,80000000,408000000,677900000
237,The Hunger Games: Catching Fire,130000000,424700000,864900000
261,The Hunger Games: Mockingjay - Part 1,125000000,337100000,766600000
138,The Hunger Games: Mockingjay - Part 2,160000000,281700000,649000000
1843,The Hunt for Red October,30000000,120700000,200500000
3005,The Imitation Game,15000000,91100000,227700000
221,The Incredible Hulk,137500000,134800000,265600000
432,The Incredibles,92000000,261400000,614700000
1405,The Intern,40000000,75800000,197100000
462,The Interpreter,90000000,72700000,162800000
853,The Italian Job,60000000,106100000,176300000
889,The Jackal,60000000,55000000,159400000
96,The Jungle Book,175000000,364000000,962900000
3862,The Karate Kid,8000000,90800000,90800000
793,The Kid,65000000,69700000,69700000
2996,The Kingâs Speech,15000000,138800000,430800000
407,The LEGO Movie 2: The Second Part,99000000,105800000,190300000
182,The Last Airbender,150000000,131800000,319700000
213,The Last Samurai,140000000,111100000,456800000
2514,The Last Song,20000000,63000000,92700000
1406,The Last of the Mohicans,40000000,75500000,75500000
615,The League of Extraordinary Gentlemen,78000000,66500000,179300000
87,The Legend of Tarzan,180000000,126600000,348900000
540,The Lego Batman Movie,80000000,175800000,310700000
843,The Lego Movie,60000000,257800000,457700000
719,The Lego Ninjago Movie,70000000,59300000,122700000
